,TimeUTC,DCnt,RE,FCnt,rcvFREQ,WM,WD,WS,Height,Xdistanc,Ydistanc,HDP,PDP,GeodetLat,GeodetLon,V,FE,FRT,FTI,FVH,FVL,FSP1,FSP2,FSP3,FSP4,N,Prs,Tmp,Hum
0,2024-06-17 21:01:42,0,4,01714,404.50095,1,0.0,0.0,2.0,0.0,0.0, 0.9, 1.4,34.07121,136.21432,0,0000,365.57,  0.00,327.74,354.41,  0.00,  1.87,  0.00,  0.00,9,1007.5,24.8,73.0
1,2024-06-17 21:01:43,2,4,01716,404.50095,1,180.0,0.0,2.1,0.0,0.0, 0.9, 1.4,34.07121,136.21432,0,0000,365.57,  0.00,327.74,354.41,  0.00,  2.14,214.40,  0.00,9,1007.5,19.5,89.6
2,2024-06-17 21:01:44,4,4,01718,404.50095,1,180.0,0.0,2.4,0.0,0.0, 0.9, 1.4,34.07121,136.21432,0,0000,365.57,  0.00,327.71,354.38,  0.00,  1.87,  0.00,  0.00,9,1007.5,19.4,88.0
3,2024-06-17 21:01:45,6,4,01720,404.50095,1,180.0,0.0,2.7,2.8,1.1, 0.9, 1.4,34.07122,136.21435,0,0000,365.57,  0.00,327.71,354.38,  0.00,  2.14,214.41,  0.00,9,1007.4,19.4,87.5
4,2024-06-17 21:01:46,8,4,01722,404.50095,1,172.7,1.25,2.7,7.4,3.3, 0.9, 1.4,34.07124,136.2144,0,0000,365.57,  0.00,327.72,354.33,  0.00,  1.87,  0.00,  0.00,9,1007.4,19.3,87.9
5,2024-06-17 21:01:47,10,4,01724,404.50095,1,218.5,1.02,3.5,0.9,0.0, 0.9, 1.4,34.07121,136.21433,0,0000,365.57,  0.00,327.72,354.33,  0.00,  2.14,214.53,  0.00,9,1007.3,18.9,88.5
6,2024-06-17 21:01:48,12,4,01726,404.50095,1,270.04,1.92,5.7,3.7,0.0, 0.9, 1.4,34.07121,136.21436,0,0000,365.57,  0.00,327.71,354.27,  0.00,  1.87,  0.00,  0.00,9,1007.1,18.9,88.9
7,2024-06-17 21:01:49,14,4,01728,404.50095,1,275.31,2.53,8.0,7.4,-3.3, 0.9, 1.4,34.07118,136.2144,0,0000,365.57,  0.00,327.71,354.27,  0.00,  2.14,214.84,  0.00,9,1006.8,18.8,89.1
8,2024-06-17 21:01:50,16,4,01730,404.50095,1,261.92,2.25,13.4,12.0,-8.9, 0.9, 1.4,34.07113,136.21445,0,0000,365.57,  0.00,327.74,354.22,  0.00,  1.87,  0.00,  0.00,9,1006.2,18.7,89.4
9,2024-06-17 21:01:51,18,4,01732,404.50095,1,255.24,2.1,18.1,12.0,-10.0, 0.9, 1.4,34.07112,136.21445,0,0000,365.56,  0.00,327.74,354.22,  0.00,  2.14,214.93,  0.00,9,1005.6,18.9,89.7
10,2024-06-17 21:01:52,20,4,01734,404.50095,1,245.99,2.06,25.5,11.1,-10.0, 0.9, 1.4,34.07112,136.21444,0,0000,365.56,  0.00,327.67,354.16,  0.00,  1.87,  0.00,  0.00,9,1004.8,19.0,90.0
11,2024-06-17 21:01:53,22,4,01736,404.50095,1,252.58,2.2,31.8,12.0,-7.8, 0.9, 1.4,34.07114,136.21445,0,0000,365.56,  0.00,327.67,354.16,  0.00,  2.14,215.03,  0.00,9,1004.0,19.0,90.3
12,2024-06-17 21:01:54,24,4,01738,404.50095,1,253.07,2.09,39.4,11.1,-4.4, 0.9, 1.4,34.07117,136.21444,0,0000,365.56,  0.00,327.73,354.12,  0.00,  1.87,  0.00,  0.00,9,1003.1,19.0,90.5
13,2024-06-17 21:01:55,26,4,01740,404.50095,1,263.26,2.19,46.2,8.3,-3.3, 0.9, 1.4,34.07118,136.21441,0,0000,365.56,  0.00,327.73,354.12,  0.00,  2.14,215.13,  0.00,9,1002.3,18.9,90.7
14,2024-06-17 21:01:56,28,4,01742,404.50095,1,268.04,2.24,53.7,6.5,0.0, 0.9, 1.4,34.07121,136.21439,0,0000,365.56,  0.00,327.73,354.07,  0.00,  1.87,  0.00,  0.00,9,1001.5,18.9,91.1
15,2024-06-17 21:01:57,30,4,01744,404.50095,1,265.9,2.2,60.9,6.5,1.1, 0.9, 1.5,34.07122,136.21439,0,0000,365.57,  0.00,327.73,354.07,  0.00,  2.13,215.23,  0.00,9,1000.6,18.9,91.5
