,TimeUTC,DCnt,RE,FCnt,rcvFREQ,WM,WD,WS,Height,Xdistanc,Ydistanc,HDP,PDP,GeodetLat,GeodetLon,V,FE,FRT,FTI,FVH,FVL,FSP1,FSP2,FSP3,FSP4,N,Prs,Tmp,Hum
0,2024-06-17 23:31:38,0,4,00912,401.50156,1,0.0,0.0,2.0,0.0,0.0, 0.8, 1.4,34.07081,136.2148,0,0000,363.42,  0.00,327.77,352.64,  0.00,  2.09,204.61,  0.00,8,1005.9,25.0,50.0
1,2024-06-17 23:31:39,2,4,00914,401.50156,1,180.0,0.0,2.2,0.0,0.0, 0.8, 1.4,34.07081,136.21482,0,0000,363.42,  0.00,327.80,352.60,  0.00,  2.16,  0.00,  0.00,8,1005.9,19.1,88.8
2,2024-06-17 23:31:40,4,4,00916,401.50156,1,180.0,0.0,3.9,0.0,0.0, 0.8, 1.4,34.07081,136.21482,0,0000,363.42,  0.00,327.80,352.60,  0.00,  2.09,204.67,  0.00,8,1005.7,18.9,88.4
3,2024-06-17 23:31:41,6,4,00918,401.50156,1,180.0,0.0,7.0,-0.9,-2.2, 0.8, 1.4,34.07079,136.21481,0,0000,363.42,  0.00,327.78,352.51,  0.00,  2.16,  0.00,  0.00,8,1005.3,18.9,88.4
4,2024-06-17 23:31:42,8,4,00920,401.50156,1,270.0,0.47,12.6,-0.9,-4.4, 0.8, 1.4,34.07077,136.21481,0,0000,363.42,  0.00,327.78,352.51,  0.00,  2.09,204.79,  0.00,8,1004.7,18.9,88.8
5,2024-06-17 23:31:43,10,4,00922,401.50156,1,216.4,0.46,18.9,-3.7,-2.2, 0.8, 1.4,34.07079,136.21478,0,0000,363.42,  0.00,327.79,352.41,  0.00,  2.16,  0.00,  0.00,8,1003.9,18.6,89.3
6,2024-06-17 23:31:44,12,4,00924,401.50156,1,170.51,0.95,27.5,-2.8,-4.4, 0.8, 1.4,34.07077,136.21479,0,0000,363.42,  0.00,327.79,352.41,  0.00,  2.09,204.81,  0.00,8,1002.9,18.7,89.8
7,2024-06-17 23:31:45,14,4,00926,401.50156,1,180.72,1.29,35.8,-0.9,-5.5, 0.8, 1.4,34.07076,136.21481,0,0000,363.42,  0.00,327.81,352.33,  0.00,  2.16,  0.00,  0.00,8,1001.9,18.7,90.1
8,2024-06-17 23:31:46,16,4,00928,401.50156,1,189.28,1.48,44.6,0.0,-7.8, 0.8, 1.4,34.07074,136.21482,0,0000,363.42,  0.00,327.81,352.33,  0.00,  2.09,204.81,  0.00,8,1000.9,18.6,90.4
9,2024-06-17 23:31:47,18,4,00930,401.50156,1,189.68,1.63,52.5,0.0,-10.0, 0.8, 1.4,34.07072,136.21482,0,0000,363.42,  0.00,327.78,352.25,  0.00,  2.16,  0.00,  0.00,8,1000.0,18.6,90.7
10,2024-06-17 23:31:48,20,4,00932,401.50156,1,187.6,1.61,58.4,0.9,-10.0, 0.8, 1.4,34.07072,136.21483,0,0000,363.42,  0.00,327.78,352.25,  0.00,  2.08,204.90,  0.00,8,999.3,18.6,91.1
11,2024-06-17 23:31:49,22,4,00934,401.50156,1,185.52,1.77,64.9,1.8,-10.0, 0.8, 1.4,34.07072,136.21484,0,0000,363.42,  0.00,327.82,352.17,  0.00,  2.16,  0.00,  0.00,8,998.5,18.5,91.5
12,2024-06-17 23:31:50,24,4,00936,401.50156,1,186.47,1.82,69.3,0.9,-11.1, 2.0, 2.5,34.07071,136.21483,0,0000,363.42,  0.00,327.82,352.17,  0.00,  2.08,205.08,  0.00,6,998.0,18.5,92.0
13,2024-06-17 23:31:51,26,4,00938,401.50156,1,184.81,1.71,75.0,0.0,-11.1, 0.8, 1.4,34.07071,136.21482,0,0000,363.42,  0.00,327.79,352.10,  0.00,  2.16,  0.00,  0.00,8,997.4,18.5,92.4
14,2024-06-17 23:31:52,28,4,00940,401.50156,1,189.88,1.31,78.9,0.0,-8.9, 0.8, 1.4,34.07073,136.21482,0,0000,363.42,  0.00,327.79,352.10,  0.00,  2.08,205.21,  0.00,8,996.9,18.5,92.8
15,2024-06-17 23:31:53,30,4,00942,401.50156,1,190.25,1.3,83.7,-1.8,-5.5, 0.9, 1.5,34.07076,136.2148,0,0000,363.42,  0.00,327.73,352.03,  0.00,  2.16,  0.00,  0.00,7,996.3,18.3,93.2
16,2024-06-17 23:31:54,32,4,00944,401.50156,1,187.86,1.38,86.9,-0.9,-3.3, 0.8, 1.4,34.07078,136.21481,0,0000,363.41,  0.00,327.73,352.03,  0.00,  2.08,205.43,  0.00,8,996.0,18.3,93.5
17,2024-06-17 23:31:55,34,4,00946,401.50156,1,190.27,1.4,91.2,-0.9,-1.1, 1.6, 2.3,34.0708,136.21481,0,0000,363.41,  0.00,327.83,351.96,  0.00,  2.16,  0.00,  0.00,6,995.5,18.3,93.8
18,2024-06-17 23:31:56,36,4,00948,401.50156,1,191.95,1.03,94.5,-1.8,1.1, 1.6, 2.3,34.07082,136.2148,0,0000,363.42,  0.00,327.83,351.96,  0.00,  2.08,205.44,  0.00,6,995.1,18.2,94.0
19,2024-06-17 23:31:57,38,4,00950,401.50156,1,204.42,0.97,98.5,0.9,-2.2, 0.8, 1.4,34.07079,136.21483,0,0000,363.42,  0.00,327.85,351.91,  0.00,  2.16,  0.00,  0.00,8,994.7,18.2,94.2
20,2024-06-17 23:31:58,40,4,00952,401.50156,1,214.77,0.96,102.1,2.8,-2.2, 0.8, 1.4,34.07079,136.21485,0,0000,363.41,  0.00,327.85,351.91,  0.00,  2.08,205.51,  0.00,8,994.2,18.2,94.4
21,2024-06-17 23:31:59,42,4,00954,401.50156,1,210.82,0.78,105.9,0.0,0.0, 0.9, 1.4,34.07081,136.21482,0,0000,363.41,  0.00,327.77,351.83,  0.00,  2.16,  0.00,  0.00,8,993.8,18.2,94.7
22,2024-06-17 23:32:00,44,4,00956,401.50156,1,198.82,0.62,109.7,-0.9,1.1, 0.8, 1.4,34.07082,136.21481,0,0000,363.41,  0.00,327.77,351.83,  0.00,  2.08,205.74,  0.00,8,993.4,18.2,95.1
23,2024-06-17 23:32:01,46,4,00958,401.50156,1,191.96,0.43,113.4,-2.8,1.1, 0.8, 1.4,34.07082,136.21479,0,0000,363.41,  0.00,327.78,351.79,  0.00,  2.16,  0.00,  0.00,8,992.9,18.1,95.4
24,2024-06-17 23:32:02,48,4,00960,401.50156,1,173.73,0.32,117.4,-4.6,1.1, 0.8, 1.4,34.07082,136.21477,0,0000,363.41,  0.00,327.78,351.79,  0.00,  2.08,205.93,  0.00,8,992.5,18.1,95.8
25,2024-06-17 23:32:03,50,4,00962,401.50156,1,154.42,0.28,121.0,-8.3,0.0, 0.8, 1.4,34.07081,136.21473,0,0000,363.41,  0.00,327.76,351.74,  0.00,  2.16,  0.00,  0.00,8,992.0,18.1,96.0
26,2024-06-17 23:32:04,52,4,00964,401.50156,1,142.36,0.37,125.1,-8.3,-3.3, 0.8, 1.4,34.07078,136.21473,0,0000,363.41,  0.00,327.76,351.74,  0.00,  2.08,206.09,  0.00,8,991.6,18.1,96.2
27,2024-06-17 23:32:05,54,4,00966,401.50156,1,132.89,0.41,128.8,-8.3,-5.5, 0.9, 1.4,34.07076,136.21473,0,0000,363.41,  0.00,327.77,351.70,  0.00,  2.16,  0.00,  0.00,7,991.2,18.1,96.3
28,2024-06-17 23:32:06,56,4,00968,401.50156,1,118.29,0.48,132.9,-8.3,-6.7, 0.8, 1.4,34.07075,136.21473,0,0000,363.41,  0.00,327.77,351.70,  0.00,  2.08,206.23,  0.00,8,990.7,18.0,96.4
29,2024-06-17 23:32:07,58,4,00970,401.50156,1,109.01,0.53,136.7,-10.2,-6.7, 0.8, 1.4,34.07075,136.21471,0,0000,363.41,  0.00,327.84,351.65,  0.00,  2.16,  0.00,  0.00,8,990.2,18.0,96.4
30,2024-06-17 23:32:08,60,4,00972,401.50156,1,111.34,0.57,140.8,-12.0,-7.8, 1.0, 1.7,34.07074,136.21469,0,0000,363.41,  0.00,327.84,351.65,  0.00,  2.08,206.53,  0.00,7,989.8,18.0,96.5
31,2024-06-17 23:32:09,62,4,00974,401.50156,1,106.29,0.6,144.8,-12.9,-8.9, 1.0, 1.7,34.07073,136.21468,0,0000,363.41,  0.00,327.87,351.62,  0.00,  2.16,  0.00,  0.00,7,989.3,17.9,96.4
32,2024-06-17 23:32:10,64,4,00976,401.50156,1,98.24,0.65,149.0,-15.7,-8.9, 1.0, 1.7,34.07073,136.21465,0,0000,363.41,  0.00,327.87,351.62,  0.00,  2.08,206.68,  0.00,7,988.8,17.9,96.4
33,2024-06-17 23:32:11,66,4,00978,401.50156,1,90.92,0.7,153.0,-16.6,-10.0, 0.8, 1.4,34.07072,136.21464,0,0000,363.41,  0.00,327.73,351.59,  0.00,  2.16,  0.00,  0.00,8,988.4,17.9,96.3
34,2024-06-17 23:32:12,68,4,00980,401.50156,1,82.6,0.58,157.3,-18.5,-11.1, 0.8, 1.4,34.07071,136.21462,0,0000,363.41,  0.00,327.73,351.59,  0.00,  2.08,206.88,  0.00,8,987.9,17.8,96.3
35,2024-06-17 23:32:13,70,4,00982,401.50156,1,72.7,0.58,161.4,-20.3,-11.1, 0.8, 1.4,34.07071,136.2146,0,0000,363.41,  0.00,327.83,351.55,  0.00,  2.16,  0.00,  0.00,8,987.4,17.8,96.4
36,2024-06-17 23:32:14,72,4,00984,401.50156,1,68.24,0.65,165.8,-20.3,-11.1, 1.0, 1.7,34.07071,136.2146,0,0000,363.41,  0.00,327.83,351.55,  0.00,  2.08,207.14,  0.00,7,986.9,17.8,96.6
37,2024-06-17 23:32:15,74,4,00986,401.50156,1,62.78,0.73,169.9,-21.2,-10.0, 0.8, 1.4,34.07072,136.21459,0,0000,363.41,  0.00,327.75,351.52,  0.00,  2.16,  0.00,  0.00,8,986.4,17.8,96.7
38,2024-06-17 23:32:16,76,4,00988,401.50156,1,62.1,0.75,174.2,-24.0,-8.9, 0.8, 1.4,34.07073,136.21456,0,0000,363.41,  0.00,327.75,351.52,  0.00,  2.07,207.33,  0.00,8,985.9,17.8,96.8
39,2024-06-17 23:32:17,78,4,00990,401.50156,1,64.65,0.78,178.3,-25.8,-8.9, 0.8, 1.4,34.07073,136.21454,0,0000,363.41,  0.00,327.78,351.50,  0.00,  2.16,  0.00,  0.00,8,985.5,17.7,96.9
40,2024-06-17 23:32:18,80,4,00992,401.50156,1,61.52,0.84,182.6,-26.8,-10.0, 0.8, 1.4,34.07072,136.21453,0,0000,363.40,  0.00,327.78,351.50,  0.00,  2.07,207.45,  0.00,8,985.0,17.7,97.1
41,2024-06-17 23:32:19,82,4,00994,401.50156,1,60.75,0.87,186.7,-29.5,-12.2, 0.8, 1.4,34.0707,136.2145,0,0000,363.40,  0.00,327.81,351.47,  0.00,  2.16,  0.00,  0.00,8,984.5,17.7,97.2
42,2024-06-17 23:32:20,84,4,00996,401.50156,1,58.62,0.9,191.0,-31.4,-13.3, 0.8, 1.4,34.07069,136.21448,0,0000,363.40,  0.00,327.81,351.47,  0.00,  2.07,207.87,  0.00,8,984.0,17.7,97.3
43,2024-06-17 23:32:21,86,4,00998,401.50156,1,60.1,0.94,195.2,-30.5,-13.3, 0.8, 1.4,34.07069,136.21449,0,0000,363.40,  0.00,327.82,351.44,  0.00,  2.16,  0.00,  0.00,8,983.5,17.7,97.3
44,2024-06-17 23:32:22,88,4,01000,401.50156,1,58.95,0.95,199.4,-29.5,-13.3, 1.0, 1.7,34.07069,136.2145,0,0000,363.40,  0.00,327.82,351.44,  0.00,  2.07,208.05,  0.00,7,983.0,17.6,97.3
45,2024-06-17 23:32:23,90,4,01002,401.50156,1,56.55,0.98,203.6,-30.5,-12.2, 1.0, 1.7,34.0707,136.21449,0,0000,363.40,  0.00,327.84,351.40,  0.00,  2.16,  0.00,  0.00,7,982.6,17.6,97.4
46,2024-06-17 23:32:24,92,4,01004,401.50156,1,56.07,0.99,207.9,-33.2,-11.1, 0.8, 1.4,34.07071,136.21446,0,0000,363.40,  0.00,327.84,351.40,  0.00,  2.07,208.38,  0.00,8,982.1,17.6,97.7
47,2024-06-17 23:32:25,94,4,01006,401.50168,1,52.22,1.04,212.1,-36.0,-11.1, 0.8, 1.4,34.07071,136.21443,0,0000,363.40,  0.00,327.85,351.37,  0.00,  2.16,  0.00,  0.00,8,981.6,17.6,97.9
48,2024-06-17 23:32:26,96,4,01008,401.50168,1,48.93,1.1,216.2,-36.9,-12.2, 1.0, 1.7,34.0707,136.21442,0,0000,363.40,  0.00,327.85,351.37,  0.00,  2.07,208.62,  0.00,7,981.1,17.6,98.1
49,2024-06-17 23:32:27,98,4,01010,401.50168,1,47.69,1.2,220.3,-34.2,-13.3, 0.9, 1.7,34.07069,136.21445,0,0000,363.40,  0.00,327.78,351.35,  0.00,  2.16,  0.00,  0.00,8,980.7,17.6,98.2
50,2024-06-17 23:32:28,100,4,01012,401.50168,1,49.31,1.28,224.3,-31.4,-14.4, 0.9, 1.5,34.07068,136.21448,0,0000,363.40,  0.00,327.78,351.35,  0.00,  2.07,208.75,  0.00,8,980.2,17.6,98.3
51,2024-06-17 23:32:29,102,4,01014,401.50168,1,48.58,1.37,228.5,-30.5,-15.5, 0.9, 1.5,34.07067,136.21449,0,0000,363.40,  0.00,327.85,351.33,  0.00,  2.16,  0.00,  0.00,8,979.7,17.6,98.5
52,2024-06-17 23:32:30,104,4,01016,401.50168,1,51.11,1.43,232.5,-31.4,-17.7, 0.9, 1.7,34.07065,136.21448,0,0000,363.39,  0.00,327.85,351.33,  0.00,  2.07,209.14,  0.00,8,979.3,17.6,98.5
53,2024-06-17 23:32:31,106,4,01018,401.50168,1,52.02,1.44,236.7,-34.2,-20.0, 0.8, 1.3,34.07063,136.21445,0,0000,363.39,  0.00,327.83,351.31,  0.00,  2.16,  0.00,  0.00,9,978.8,17.6,98.5
54,2024-06-17 23:32:32,108,4,01020,401.50168,1,52.27,1.45,240.9,-35.1,-20.0, 0.8, 1.3,34.07063,136.21444,0,0000,363.40,  0.00,327.83,351.31,  0.00,  2.07,209.27,  0.00,9,978.3,17.5,98.4
55,2024-06-17 23:32:33,110,4,01022,401.50168,1,53.24,1.47,245.1,-36.0,-21.1, 0.8, 1.3,34.07062,136.21443,0,0000,363.40,  0.00,327.80,351.28,  0.00,  2.16,  0.00,  0.00,9,977.8,17.5,98.3
56,2024-06-17 23:32:34,112,4,01024,401.50168,1,50.49,1.49,249.2,-34.2,-21.1, 0.9, 1.5,34.07062,136.21445,0,0000,363.39,  0.00,327.80,351.28,  0.00,  2.06,209.39,  0.00,8,977.4,17.5,98.3
57,2024-06-17 23:32:35,114,4,01026,401.50168,1,50.63,1.58,253.4,-34.2,-22.2, 0.8, 1.3,34.07061,136.21445,0,0000,363.39,  0.00,327.76,351.26,  0.00,  2.16,  0.00,  0.00,9,976.9,17.5,98.4
58,2024-06-17 23:32:36,116,4,01028,401.50168,1,50.61,1.67,257.3,-36.0,-23.3, 0.9, 1.5,34.0706,136.21443,0,0000,363.39,  0.00,327.76,351.26,  0.00,  2.07,209.79,  0.00,8,976.4,17.4,98.5
59,2024-06-17 23:32:37,118,4,01030,401.50168,1,51.95,1.77,261.4,-36.9,-25.5, 0.8, 1.3,34.07058,136.21442,0,0000,363.39,  0.00,327.74,351.24,  0.00,  2.16,  0.00,  0.00,9,976.0,17.4,98.5
60,2024-06-17 23:32:38,120,4,01032,401.50168,1,54.71,1.79,265.3,-38.8,-27.7, 0.8, 1.3,34.07056,136.2144,0,0000,363.39,  0.00,327.74,351.24,  0.00,  2.06,209.98,  0.00,9,975.5,17.4,98.5
61,2024-06-17 23:32:39,122,4,01034,401.50168,1,55.63,1.86,269.3,-39.7,-29.9, 0.8, 1.3,34.07054,136.21439,0,0000,363.39,  0.00,327.84,351.21,  0.00,  2.16,  0.00,  0.00,9,975.1,17.4,98.4
62,2024-06-17 23:32:40,124,4,01036,401.50168,1,54.7,1.86,273.3,-40.6,-29.9, 0.8, 1.3,34.07054,136.21438,0,0000,363.39,  0.00,327.84,351.21,  0.00,  2.06,210.43,  0.00,9,974.6,17.3,98.5
63,2024-06-17 23:32:41,126,4,01038,401.50168,1,52.76,1.86,277.3,-41.5,-29.9, 0.8, 1.3,34.07054,136.21437,0,0000,363.39,  0.00,327.82,351.20,  0.00,  2.16,  0.00,  0.00,9,974.2,17.3,98.5
