,TimeUTC,DCnt,RE,FCnt,rcvFREQ,WM,WD,WS,Height,Xdistanc,Ydistanc,HDP,PDP,GeodetLat,GeodetLon,V,FE,FRT,FTI,FVH,FVL,FSP1,FSP2,FSP3,FSP4,N,Prs,Tmp,Hum
0,2024-06-18 01:30:04,0,4,01416,401.90347,1,0.0,0.0,2.0,0.0,0.0, 1.0, 1.6,34.07084,136.21506,0,0000,360.39,  0.00,327.71,350.09,  0.00,  2.05,221.75,  0.00,9,1005.0,25.0,50.0
1,2024-06-18 01:30:05,2,4,01418,401.90347,1,180.0,0.0,-0.9,0.0,0.0, 1.0, 1.6,34.07085,136.21509,0,0000,360.39,  0.00,327.76,350.04,  0.00,  1.85,  0.00,  0.00,9,1005.3,19.2,87.8
2,2024-06-18 01:30:06,4,4,01420,401.90347,1,180.0,0.0,-2.1,0.0,0.0, 1.0, 1.6,34.07086,136.21512,0,0000,360.39,  0.00,327.76,350.04,  0.00,  2.05,221.82,  0.00,9,1005.5,18.9,88.0
3,2024-06-18 01:30:07,6,4,01422,401.90347,1,180.0,0.0,-0.8,3.7,0.0, 1.0, 1.6,34.07085,136.21513,0,0000,360.39,  0.00,327.75,349.97,  0.00,  1.85,  0.00,  0.00,9,1005.3,18.9,88.2
4,2024-06-18 01:30:08,8,4,01424,401.90347,1,0.7,1.18,3.7,3.7,0.0, 1.0, 1.6,34.07085,136.21513,0,0000,360.39,  0.00,327.75,349.97,  0.00,  2.05,221.93,  0.00,9,1004.8,18.8,88.5
5,2024-06-18 01:30:09,10,4,01426,401.90347,1,123.72,0.24,7.7,2.8,8.9, 1.0, 1.6,34.07093,136.21512,0,0000,360.39,  0.00,327.78,349.91,  0.00,  1.85,  0.00,  0.00,9,1004.3,18.6,88.9
6,2024-06-18 01:30:10,12,4,01428,401.90347,1,131.57,2.75,13.0,2.8,14.4, 1.0, 1.6,34.07098,136.21512,0,0000,360.39,  0.00,327.78,349.91,  0.00,  2.05,221.96,  0.00,9,1003.7,18.4,89.3
7,2024-06-18 01:30:11,14,4,01430,401.90347,1,141.13,4.03,18.8,4.6,22.2, 1.0, 1.6,34.07105,136.21514,0,0000,360.39,  0.00,327.77,349.85,  0.00,  1.85,  0.00,  0.00,9,1003.1,18.4,89.4
8,2024-06-18 01:30:12,16,4,01432,401.90347,1,151.73,4.7,26.4,6.5,28.8, 1.0, 1.6,34.07111,136.21516,0,0000,360.39,  0.00,327.77,349.85,  0.00,  2.05,221.94,  0.00,9,1002.2,18.4,89.1
9,2024-06-18 01:30:13,18,4,01434,401.90347,1,153.77,5.23,33.2,9.2,33.3, 1.0, 1.6,34.07115,136.21519,0,0000,360.39,  0.00,327.76,349.79,  0.00,  1.85,  0.00,  0.00,9,1001.4,18.4,88.5
10,2024-06-18 01:30:14,20,4,01436,401.90347,1,155.91,3.63,40.0,10.2,35.5, 1.0, 1.6,34.07117,136.2152,0,0000,360.39,  0.00,327.76,349.79,  0.00,  2.05,222.01,  0.00,9,1000.6,18.5,87.7
11,2024-06-18 01:30:15,22,4,01438,401.90347,1,160.38,3.56,46.3,12.0,35.5, 1.0, 1.6,34.07117,136.21522,0,0000,360.39,  0.00,327.76,349.72,  0.00,  1.85,  0.00,  0.00,9,999.8,18.6,87.3
12,2024-06-18 01:30:16,24,4,01440,401.90347,1,171.3,2.85,52.3,14.8,33.3, 1.0, 1.6,34.07115,136.21525,0,0000,360.39,  0.00,327.76,349.72,  0.00,  2.05,222.00,  0.00,9,999.1,18.5,87.3
13,2024-06-18 01:30:17,26,4,01442,401.90347,1,178.59,3.26,58.5,18.5,29.9, 1.5, 2.8,34.07112,136.21529,0,0000,360.39,  0.00,327.71,349.67,  0.00,  1.85,  0.00,  0.00,7,998.4,18.6,87.6
14,2024-06-18 01:30:18,28,4,01444,401.90347,1,191.52,3.21,63.4,19.4,27.7, 1.3, 2.3,34.0711,136.2153,0,0000,360.39,  0.00,327.71,349.67,  0.00,  2.05,222.08,  0.00,7,997.8,18.5,87.9
15,2024-06-18 01:30:19,30,4,01446,401.90347,1,201.15,3.07,69.0,22.2,25.5, 1.2, 2.0,34.07108,136.21533,0,0000,360.39,  0.00,327.76,349.62,  0.00,  1.85,  0.00,  0.00,7,997.2,18.5,88.1
16,2024-06-18 01:30:20,32,4,01448,401.90347,1,210.02,3.35,73.3,24.9,24.4, 1.2, 2.0,34.07107,136.21536,0,0000,360.39,  0.00,327.76,349.62,  0.00,  2.05,222.08,  0.00,7,996.7,18.5,88.3
17,2024-06-18 01:30:21,34,4,01450,401.90347,1,220.07,3.56,78.4,28.6,22.2, 1.0, 1.8,34.07105,136.2154,0,0000,360.39,  0.00,327.78,349.57,  0.00,  1.85,  0.00,  0.00,8,996.1,18.5,88.5
18,2024-06-18 01:30:22,36,4,01452,401.90347,1,222.63,3.88,82.4,33.2,22.2, 1.0, 1.6,34.07105,136.21545,0,0000,360.39,  0.00,327.78,349.57,  0.00,  2.04,222.09,  0.00,9,995.7,18.4,88.7
19,2024-06-18 01:30:23,38,4,01454,401.90347,1,230.75,4.38,87.2,39.7,23.3, 1.0, 1.6,34.07106,136.21552,0,0000,360.39,  0.00,327.72,349.51,  0.00,  1.85,  0.00,  0.00,9,995.1,18.4,88.9
20,2024-06-18 01:30:24,40,4,01456,401.90347,1,234.25,4.56,91.0,45.2,25.5, 1.0, 1.6,34.07108,136.21558,0,0000,360.39,  0.00,327.72,349.51,  0.00,  2.04,222.15,  0.00,9,994.7,18.4,89.2
21,2024-06-18 01:30:25,42,4,01458,401.90347,1,241.8,4.69,95.6,51.7,27.7, 1.0, 1.6,34.0711,136.21565,0,0000,360.39,  0.00,327.73,349.47,  0.00,  1.85,  0.00,  0.00,9,994.1,18.3,89.4
22,2024-06-18 01:30:26,44,4,01460,401.90347,1,246.2,4.31,99.5,58.2,31.1, 1.0, 1.6,34.07113,136.21572,0,0000,360.39,  0.00,327.73,349.47,  0.00,  2.04,222.25,  0.00,9,993.7,18.3,89.7
23,2024-06-18 01:30:27,46,4,01462,401.90347,1,252.12,4.3,103.9,64.6,33.3, 1.0, 1.6,34.07115,136.21579,0,0000,360.39,  0.00,327.75,349.43,  0.00,  1.85,  0.00,  0.00,9,993.2,18.3,90.0
24,2024-06-18 01:30:28,48,4,01464,401.90347,1,251.34,4.04,108.0,70.2,36.6, 1.0, 1.6,34.07118,136.21585,0,0000,360.39,  0.00,327.75,349.43,  0.00,  2.04,222.38,  0.00,9,992.7,18.3,90.3
25,2024-06-18 01:30:29,50,4,01466,401.90347,1,254.46,3.99,112.1,76.6,41.0, 1.1, 1.7,34.07122,136.21592,0,0000,360.39,  0.00,327.77,349.39,  0.00,  1.85,  0.00,  0.00,8,992.2,18.3,90.5
26,2024-06-18 01:30:30,52,4,01468,401.90347,1,253.39,3.76,116.2,82.2,45.5, 1.0, 1.6,34.07126,136.21598,0,0000,360.39,  0.00,327.77,349.39,  0.00,  2.04,222.49,  0.00,9,991.8,18.4,90.7
27,2024-06-18 01:30:31,54,4,01470,401.90347,1,255.6,3.81,120.3,86.8,48.8, 1.0, 1.6,34.07129,136.21603,0,0000,360.39,  0.00,327.77,349.36,  0.00,  1.85,  0.00,  0.00,9,991.3,18.4,90.9
28,2024-06-18 01:30:32,56,4,01472,401.90347,1,253.26,3.78,124.5,93.2,53.2, 1.0, 1.6,34.07133,136.2161,0,0000,360.39,  0.00,327.77,349.36,  0.00,  2.04,222.51,  0.00,9,990.8,18.2,91.1
29,2024-06-18 01:30:33,58,4,01474,401.90347,1,249.98,3.9,128.6,99.7,56.6, 1.0, 1.6,34.07136,136.21617,0,0000,360.39,  0.00,327.83,349.32,  0.00,  1.85,  0.00,  0.00,9,990.3,18.0,91.3
30,2024-06-18 01:30:34,60,4,01476,401.90347,1,251.02,3.97,132.9,106.2,58.8, 1.0, 1.6,34.07138,136.21624,0,0000,360.39,  0.00,327.83,349.32,  0.00,  2.03,222.68,  0.00,9,989.8,18.0,91.5
31,2024-06-18 01:30:35,62,4,01478,401.90347,1,251.41,4.04,137.0,109.8,58.8, 1.0, 1.6,34.07138,136.21628,0,0000,360.39,  0.00,327.76,349.29,  0.00,  1.85,  0.00,  0.00,9,989.3,17.9,91.7
32,2024-06-18 01:30:36,64,4,01480,401.90347,1,254.98,3.98,141.2,111.7,58.8, 1.0, 1.6,34.07138,136.2163,0,0000,360.39,  0.00,327.76,349.29,  0.00,  2.03,222.75,  0.00,9,988.9,17.9,91.8
33,2024-06-18 01:30:37,66,4,01482,401.90347,1,255.66,3.97,145.3,112.6,57.7, 1.0, 1.6,34.07137,136.21631,0,0000,360.39,  0.00,327.74,349.25,  0.00,  1.85,  0.00,  0.00,9,988.4,18.0,91.9
