,TimeUTC,DCnt,RE,FCnt,rcvFREQ,WM,WD,WS,Height,Xdistanc,Ydistanc,HDP,PDP,GeodetLat,GeodetLon,V,FE,FRT,FTI,FVH,FVL,FSP1,FSP2,FSP3,FSP4,N,Prs,Tmp,Hum
0,2024-06-18 02:47:51,0,4,00616,401.90179,1,0.0,0.0,2.0,0.0,0.0, 1.0, 1.9,34.07104,136.215,0,0000,363.06,  0.00,327.71,351.56,  0.00,  2.07,225.87,  0.00,6,1004.1,25.0,50.0
1,2024-06-18 02:47:52,2,4,00618,401.90179,1,180.0,0.0,2.1,0.0,0.0, 1.0, 1.9,34.07104,136.215,0,0000,363.06,  0.00,327.76,351.55,  0.00,  1.87,  0.00,  0.00,6,1004.1,18.9,100.0
2,2024-06-18 02:47:53,4,4,00620,401.90179,1,180.0,0.0,4.2,0.0,0.0, 1.0, 1.9,34.07104,136.215,0,0000,363.06,  0.00,327.76,351.55,  0.00,  2.07,225.94,  0.00,6,1003.8,18.1,100.0
3,2024-06-18 02:47:54,6,4,00622,401.90179,1,180.0,0.0,8.0,0.9,1.1, 1.0, 1.9,34.07105,136.21501,0,0000,363.06,  0.00,327.79,351.50,  0.00,  1.87,  0.00,  0.00,6,1003.4,18.5,100.0
4,2024-06-18 02:47:55,8,4,00624,401.90179,1,229.56,0.34,1.3,1.8,2.2, 1.0, 1.9,34.07106,136.21502,0,0000,363.06,  0.00,327.79,351.50,  0.00,  2.07,225.98,  0.00,6,1004.2,18.4,100.0
5,2024-06-18 02:47:56,10,4,00626,401.90179,1,208.93,0.56,-0.4,7.4,0.0, 1.0, 1.8,34.07104,136.21508,0,0000,363.06,  0.00,327.79,351.45,  0.00,  1.87,  0.00,  0.00,7,1004.3,18.4,100.0
6,2024-06-18 02:47:57,12,4,00628,401.90179,1,221.61,0.89,-2.0,7.4,-2.2, 1.0, 1.8,34.07102,136.21508,0,0000,363.06,  0.00,327.79,351.45,  0.00,  2.07,226.16,  0.00,7,1004.5,18.4,100.0
7,2024-06-18 02:47:58,14,4,00630,401.90179,1,233.18,1.58,-1.8,7.4,-1.1, 1.0, 1.8,34.07103,136.21508,0,0000,363.06,  0.00,327.80,351.42,  0.00,  1.87,  0.00,  0.00,7,1004.5,18.4,100.0
8,2024-06-18 02:47:59,16,4,00632,401.90179,1,256.4,2.08,-0.4,8.3,1.1, 1.0, 1.8,34.07105,136.21509,0,0000,363.06,  0.00,327.80,351.42,  0.00,  2.07,226.18,  0.00,7,1004.3,18.3,100.0
9,2024-06-18 02:48:00,18,4,00634,401.90179,1,264.06,2.41,0.4,12.0,5.5, 1.0, 1.8,34.07109,136.21513,0,0000,363.06,  0.00,327.75,351.39,  0.00,  1.87,  0.00,  0.00,7,1004.2,18.3,100.0
