,TimeUTC,DCnt,RE,FCnt,rcvFREQ,WM,WD,WS,Height,Xdistanc,Ydistanc,HDP,PDP,GeodetLat,GeodetLon,V,FE,FRT,FTI,FVH,FVL,FSP1,FSP2,FSP3,FSP4,N,Prs,Tmp,Hum
0,2024-06-18 03:30:12,0,4,01820,403.50287,1,0.0,0.0,2.0,0.0,0.0, 0.8, 1.5,34.07099,136.21497,0,0000,362.62,  0.00,327.83,351.59,  0.00,  2.12,224.64,  0.00,9,1003.6,25.0,50.0
1,2024-06-18 03:30:13,2,4,01822,403.50287,1,180.0,0.0,2.0,0.0,0.0, 0.8, 1.5,34.07099,136.21497,0,0000,362.62,  0.00,327.80,351.53,  0.00,  1.91,  0.00,  0.00,9,1003.6,19.1,90.3
2,2024-06-18 03:30:14,4,4,01824,403.50287,1,180.0,0.0,2.5,0.0,0.0, 0.8, 1.5,34.07099,136.21497,0,0000,362.62,  0.00,327.80,351.53,  0.00,  2.12,224.69,  0.00,9,1003.6,19.0,89.1
3,2024-06-18 03:30:15,6,4,01826,403.50287,1,180.0,0.0,4.0,0.9,0.0, 0.8, 1.5,34.07099,136.21498,0,0000,362.62,  0.00,327.82,351.48,  0.00,  1.91,  0.00,  0.00,9,1003.4,18.9,88.7
4,2024-06-18 03:30:16,8,4,01828,403.50287,1,43.5,0.59,9.6,3.7,-1.1, 0.8, 1.5,34.07098,136.21501,0,0000,362.61,  0.00,327.82,351.48,  0.00,  2.12,224.70,  0.00,9,1002.7,18.9,89.1
5,2024-06-18 03:30:17,10,4,01830,403.50287,1,43.5,1.02,13.8,2.8,-2.2, 0.8, 1.5,34.07097,136.215,0,0000,362.61,  0.00,327.85,351.41,  0.00,  1.91,  0.00,  0.00,9,1002.2,18.6,89.5
6,2024-06-18 03:30:18,12,4,01832,403.50287,1,28.82,1.28,18.5,3.7,-2.2, 0.8, 1.5,34.07097,136.21501,0,0000,362.62,  0.00,327.85,351.41,  0.00,  2.12,224.77,  0.00,9,1001.7,18.6,89.8
7,2024-06-18 03:30:19,14,4,01834,403.50287,1,20.85,1.44,23.6,5.5,-2.2, 0.8, 1.5,34.07097,136.21503,0,0000,362.62,  0.00,327.85,351.33,  0.00,  1.91,  0.00,  0.00,9,1001.1,18.6,90.1
8,2024-06-18 03:30:20,16,4,01836,403.50287,1,9.34,1.41,28.4,6.5,-2.2, 0.8, 1.5,34.07097,136.21504,0,0000,362.61,  0.00,327.85,351.33,  0.00,  2.12,224.76,  0.00,9,1000.5,18.6,90.4
9,2024-06-18 03:30:21,18,4,01838,403.50287,1,4.46,1.12,33.3,6.5,-3.3, 0.8, 1.5,34.07096,136.21504,0,0000,362.61,  0.00,327.86,351.27,  0.00,  1.91,  0.00,  0.00,9,1000.0,18.5,90.8
