,TimeUTC,DCnt,RE,FCnt,rcvFREQ,WM,WD,WS,Height,Xdistanc,Ydistanc,HDP,PDP,GeodetLat,GeodetLon,V,FE,FRT,FTI,FVH,FVL,FSP1,FSP2,FSP3,FSP4,N,Prs,Tmp,Hum
0,2024-06-18 04:29:57,0,4,01536,404.50168,1,0.0,0.0,2.0,0.0,0.0, 1.0, 1.7,34.07117,136.21456,0,0000,363.02,  0.00,327.76,352.98,  0.00,  2.11,217.93,  0.00,7,1003.2,25.0,50.0
1,2024-06-18 04:29:58,2,4,01538,404.50168,1,180.0,0.0,2.3,0.0,0.0, 1.0, 1.7,34.07117,136.21455,0,0000,363.02,  0.00,327.71,352.96,  0.00,  1.86,  0.00,  0.00,7,1003.2,20.0,78.7
2,2024-06-18 04:29:59,4,4,01540,404.50168,1,180.0,0.0,4.0,0.0,0.0, 1.0, 1.7,34.07117,136.21455,0,0000,363.02,  0.00,327.71,352.96,  0.00,  2.11,217.93,  0.00,7,1003.0,20.0,76.6
3,2024-06-18 04:30:00,6,4,01542,404.50168,1,180.0,0.0,6.3,0.0,-1.1, 1.0, 1.7,34.07116,136.21455,0,0000,363.02,  0.00,327.73,352.84,  0.00,  1.86,  0.00,  0.00,7,1002.7,19.3,75.7
4,2024-06-18 04:30:01,8,4,01544,404.50168,1,180.0,0.0,9.1,0.0,-2.2, 1.0, 1.7,34.07115,136.21455,0,0000,363.02,  0.00,327.73,352.84,  0.00,  2.11,217.87,  0.00,7,1002.4,19.2,76.1
5,2024-06-18 04:30:02,10,4,01546,404.50168,1,180.0,0.0,11.8,-3.7,-2.2, 1.0, 1.7,34.07115,136.21451,0,0000,363.02,  0.00,327.64,352.67,  0.00,  1.86,  0.00,  0.00,7,1002.1,19.1,77.2
6,2024-06-18 04:30:03,12,4,01548,404.50168,1,127.29,0.13,12.9,-3.7,-4.4, 1.0, 1.7,34.07113,136.21451,0,0000,363.03,  0.00,327.64,352.67,  0.00,  2.11,217.81,  0.00,7,1002.0,19.1,78.2
7,2024-06-18 04:30:04,14,4,01550,404.50168,1,127.29,0.35,13.9,-3.7,-1.1, 1.0, 1.7,34.07116,136.21451,0,0000,363.03,  0.00,327.66,352.52,  0.00,  1.86,  0.00,  0.00,7,1001.8,19.1,78.8
8,2024-06-18 04:30:05,16,4,01552,404.50168,1,124.08,0.05,16.0,-2.8,1.1, 1.0, 1.7,34.07118,136.21452,0,0000,363.02,  0.00,327.66,352.52,  0.00,  2.11,217.65,  0.00,7,1001.6,19.0,79.2
9,2024-06-18 04:30:06,18,4,01554,404.50168,1,247.12,0.05,21.3,-5.5,2.2, 1.0, 1.7,34.07119,136.21449,0,0000,363.02,  0.00,327.77,352.41,  0.00,  1.86,  0.00,  0.00,7,1001.0,18.4,79.4
